gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
1,Oil,10,0,0,0,0,0,1,0,8086.9,0,0,160.55,10379,115287,0,400,400,10,8,J
2,Gas,10,0,0,0,0,0,1,0,1472.4,0,0,23.13,3858.73,66889.42,0,400,400,12,12,J
3,Coal,3,0,0,0,0,0,1,0,151,0,0,19.98,3042.4,20915.15,0,120,120,24,60,C
4,Oil,3,0,0,0,0,0,1,0,1616.7,0,0,192,10379,115287,0,400,400,10,8,C
5,Gas,3,0,0,0,0,0,1,0,1417.2,0,0,25,3858.73,66889.42,0,400,400,12,12,C
6,Nuclear,3,0,0,0,0,0,1,0,2765,0,0,5,1500,900000,0,120,120,24,48,C
7,Wind_LB,3,0,0,0,0,0,1,0,518.4,0,0,0,0,0,0,0,0,0,0,C
8,Hydro,3,0,0,0,0,0,1,0,110,0,0,0,0,0,0,0,0,0,0,C
9,Gas,5,0,0,0,0,0,1,0,199.7,0,0,57,3858.73,66889.42,0,400,400,12,12,E
10,Wind_LB,5,0,0,0,0,0,1,0,441.9,0,0,0,0,0,0,0,0,0,0,E
11,Hydro,5,0,0,0,0,0,1,0,376.3,0,0,0,0,0,0,0,0,0,0,E
12,Gas,6,0,0,0,0,0,1,0,3052.3,0,0,30,3858.73,66889.42,0,400,400,12,12,F
13,Hydro,6,0,0,0,0,0,1,0,1440.8,0,0,0,0,0,0,0,0,0,0,F
14,Waste,6,0,0,0,0,0,1,0,10.5,0,0,23.13,3858.73,66889.42,0,400,400,12,12,F
15,Oil,11,0,0,0,0,0,1,0,1646.1,0,0,160.55,10379,115287,0,400,400,10,8,K
16,Gas,11,0,0,0,0,0,1,0,3443.9,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
17,PV,11,0,0,0,0,0,1,0,31.5,0,0,0,0,0,0,0,0,0,0,K
18,Waste,11,0,0,0,0,0,1,0,119.7,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
19,Oil,7,0,0,0,0,0,1,0,1222.3,0,0,233,10379,115287,0,400,400,10,8,G
20,Gas,7,0,0,0,0,0,1,0,2289.5,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
21,Hydro,7,0,0,0,0,0,1,0,78.6,0,0,0,0,0,0,0,0,0,0,G
22,Waste,7,0,0,0,0,0,1,0,6.2,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
23,Gas,4,0,0,0,0,0,1,0,337.4,0,0,27,3858.73,66889.42,0,400,400,12,12,D
24,Wind_LB,4,0,0,0,0,0,1,0,678.4,0,0,0,0,0,0,0,0,0,0,D
25,Hydro,4,0,0,0,0,0,1,0,914.8,0,0,0,0,0,0,0,0,0,0,D
26,Coal,1,0,0,0,0,0,1,0,685.9,0,0,18.28,3042.4,20915.15,0,120,120,24,60,A
27,Gas,1,0,0,0,0,0,1,0,495,0,0,25,3858.73,66889.42,0,400,400,12,12,A
28,Wind_LB,1,0,0,0,0,0,1,0,100.5,0,0,0,0,0,0,0,0,0,0,A
29,Hydro,1,0,0,0,0,0,1,0,2679.7,0,0,0,0,0,0,0,0,0,0,A
30,Waste,1,0,0,0,0,0,1,0,31.2,0,0,23.13,3858.73,66889.42,0,400,400,12,12,A
31,Nuclear,8,0,0,0,0,0,1,0,2054,0,0,7,1500,900000,0,120,120,24,48,H
32,Waste,8,0,0,0,0,0,1,0,52,0,0,23.13,3858.73,66889.42,0,400,400,12,12,H
33,Gas,2,0,0,0,0,0,1,0,123.8,0,0,25,3858.73,66889.42,0,400,400,12,12,B
34,Nuclear,2,0,0,0,0,0,1,0,581,0,0,10,1500,900000,0,120,120,24,48,B
35,Hydro,2,0,0,0,0,0,1,0,63.8,0,0,0,0,0,0,0,0,0,0,B
36,Gas,1,0,0,0,0,0,1,0,379.81,0,0,25,3858.73,66889.42,0,400,400,12,12,A
37,Gas,2,0,0,0,0,0,1,0,99.95,0,0,25,3858.73,66889.42,0,400,400,12,12,B
