gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
1,Oil,10,0,0,0,0,0,1,0,8086.9,0,0,160.55,10379,115287,0,400,400,10,8,J
2,Gas,10,0,0,0,0,0,1,0,1472.4,0,0,23.13,3858.73,66889.42,0,400,400,12,12,J
3,Oil,3,0,0,0,0,0,1,0,1616.7,0,0,192,10379,115287,0,400,400,10,8,C
4,Gas,3,0,0,0,0,0,1,0,1417.2,0,0,25,3858.73,66889.42,0,400,400,12,12,C
5,Nuclear,3,0,0,0,0,0,1,0,2765,0,0,5,1500,900000,0,120,120,24,48,C
6,Wind_LB,3,0,0,0,0,0,1,0,518.4,0,0,0,0,0,0,0,0,0,0,C
7,Hydro,3,0,0,0,0,0,1,0,110,0,0,0,0,0,0,0,0,0,0,C
8,Gas,5,0,0,0,0,0,1,0,199.7,0,0,57,3858.73,66889.42,0,400,400,12,12,E
9,Wind_LB,5,0,0,0,0,0,1,0,441.9,0,0,0,0,0,0,0,0,0,0,E
10,Hydro,5,0,0,0,0,0,1,0,376.3,0,0,0,0,0,0,0,0,0,0,E
11,Gas,6,0,0,0,0,0,1,0,3052.3,0,0,30,3858.73,66889.42,0,400,400,12,12,F
12,Hydro,6,0,0,0,0,0,1,0,1440.8,0,0,0,0,0,0,0,0,0,0,F
13,Waste,6,0,0,0,0,0,1,0,10.5,0,0,23.13,3858.73,66889.42,0,400,400,12,12,F
14,Oil,11,0,0,0,0,0,1,0,1646.1,0,0,160.55,10379,115287,0,400,400,10,8,K
15,Gas,11,0,0,0,0,0,1,0,3443.9,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
16,PV,11,0,0,0,0,0,1,0,31.5,0,0,0,0,0,0,0,0,0,0,K
17,Waste,11,0,0,0,0,0,1,0,119.7,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
18,Oil,7,0,0,0,0,0,1,0,1222.3,0,0,233,10379,115287,0,400,400,10,8,G
19,Gas,7,0,0,0,0,0,1,0,2289.5,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
20,Hydro,7,0,0,0,0,0,1,0,78.6,0,0,0,0,0,0,0,0,0,0,G
21,Waste,7,0,0,0,0,0,1,0,6.2,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
22,Gas,4,0,0,0,0,0,1,0,337.4,0,0,27,3858.73,66889.42,0,400,400,12,12,D
23,Wind_LB,4,0,0,0,0,0,1,0,678.4,0,0,0,0,0,0,0,0,0,0,D
24,Hydro,4,0,0,0,0,0,1,0,914.8,0,0,0,0,0,0,0,0,0,0,D
25,Gas,1,0,0,0,0,0,1,0,495,0,0,25,3858.73,66889.42,0,400,400,12,12,A
26,Wind_LB,1,0,0,0,0,0,1,0,100.5,0,0,0,0,0,0,0,0,0,0,A
27,Hydro,1,0,0,0,0,0,1,0,2679.7,0,0,0,0,0,0,0,0,0,0,A
28,Waste,1,0,0,0,0,0,1,0,31.2,0,0,23.13,3858.73,66889.42,0,400,400,12,12,A
29,Nuclear,8,0,0,0,0,0,1,0,2054,0,0,7,1500,900000,0,120,120,24,48,H
30,Waste,8,0,0,0,0,0,1,0,52,0,0,23.13,3858.73,66889.42,0,400,400,12,12,H
31,Gas,2,0,0,0,0,0,1,0,123.8,0,0,25,3858.73,66889.42,0,400,400,12,12,B
32,Nuclear,2,0,0,0,0,0,1,0,581,0,0,10,1500,900000,0,120,120,24,48,B
33,Hydro,2,0,0,0,0,0,1,0,63.8,0,0,0,0,0,0,0,0,0,0,B
34,Gas,1,0,0,0,0,0,1,0,379.81,0,0,25,3858.73,66889.42,0,400,400,12,12,A
35,Gas,2,0,0,0,0,0,1,0,99.95,0,0,25,3858.73,66889.42,0,400,400,12,12,B
36,Gas,3,0,0,0,0,0,1,0,1099.45,0,0,25,3858.73,66889.42,0,400,400,12,12,C
37,Gas,4,0,0,0,0,0,1,0,259.87,0,0,27,3858.73,66889.42,0,400,400,12,12,D
