gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
1,Oil,10,0,0,0,0,0,1,0,8086.9,0,0,160.55,10379,115287,0,400,400,10,8,J
2,Gas,10,0,0,0,0,0,1,0,1472.4,0,0,23.13,3858.73,66889.42,0,400,400,12,12,J
3,Oil,3,0,0,0,0,0,1,0,1616.7,0,0,192,10379,115287,0,400,400,10,8,C
4,Gas,3,0,0,0,0,0,1,0,1417.2,0,0,25,3858.73,66889.42,0,400,400,12,12,C
5,Wind_LB,3,0,0,0,0,0,1,0,518.4,0,0,0,0,0,0,0,0,0,0,C
6,Hydro,3,0,0,0,0,0,1,0,110,0,0,0,0,0,0,0,0,0,0,C
7,Gas,5,0,0,0,0,0,1,0,199.7,0,0,57,3858.73,66889.42,0,400,400,12,12,E
8,Wind_LB,5,0,0,0,0,0,1,0,441.9,0,0,0,0,0,0,0,0,0,0,E
9,Hydro,5,0,0,0,0,0,1,0,376.3,0,0,0,0,0,0,0,0,0,0,E
10,Gas,6,0,0,0,0,0,1,0,3052.3,0,0,30,3858.73,66889.42,0,400,400,12,12,F
11,Hydro,6,0,0,0,0,0,1,0,1440.8,0,0,0,0,0,0,0,0,0,0,F
12,Waste,6,0,0,0,0,0,1,0,10.5,0,0,23.13,3858.73,66889.42,0,400,400,12,12,F
13,Oil,11,0,0,0,0,0,1,0,1646.1,0,0,160.55,10379,115287,0,400,400,10,8,K
14,Gas,11,0,0,0,0,0,1,0,3443.9,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
15,PV,11,0,0,0,0,0,1,0,31.5,0,0,0,0,0,0,0,0,0,0,K
16,Waste,11,0,0,0,0,0,1,0,119.7,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
17,Oil,7,0,0,0,0,0,1,0,1222.3,0,0,233,10379,115287,0,400,400,10,8,G
18,Gas,7,0,0,0,0,0,1,0,2289.5,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
19,Hydro,7,0,0,0,0,0,1,0,78.6,0,0,0,0,0,0,0,0,0,0,G
20,Waste,7,0,0,0,0,0,1,0,6.2,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
21,Gas,4,0,0,0,0,0,1,0,337.4,0,0,27,3858.73,66889.42,0,400,400,12,12,D
22,Wind_LB,4,0,0,0,0,0,1,0,678.4,0,0,0,0,0,0,0,0,0,0,D
23,Hydro,4,0,0,0,0,0,1,0,914.8,0,0,0,0,0,0,0,0,0,0,D
24,Gas,1,0,0,0,0,0,1,0,495,0,0,25,3858.73,66889.42,0,400,400,12,12,A
25,Wind_LB,1,0,0,0,0,0,1,0,100.5,0,0,0,0,0,0,0,0,0,0,A
26,Hydro,1,0,0,0,0,0,1,0,2679.7,0,0,0,0,0,0,0,0,0,0,A
27,Waste,1,0,0,0,0,0,1,0,31.2,0,0,23.13,3858.73,66889.42,0,400,400,12,12,A
28,Waste,8,0,0,0,0,0,1,0,52,0,0,23.13,3858.73,66889.42,0,400,400,12,12,H
29,Gas,2,0,0,0,0,0,1,0,123.8,0,0,25,3858.73,66889.42,0,400,400,12,12,B
30,Hydro,2,0,0,0,0,0,1,0,63.8,0,0,0,0,0,0,0,0,0,0,B
31,Gas,1,0,0,0,0,0,1,0,379.81,0,0,25,3858.73,66889.42,0,400,400,12,12,A
32,Gas,2,0,0,0,0,0,1,0,99.95,0,0,25,3858.73,66889.42,0,400,400,12,12,B
33,Gas,3,0,0,0,0,0,1,0,1099.45,0,0,25,3858.73,66889.42,0,400,400,12,12,C
34,Gas,4,0,0,0,0,0,1,0,259.87,0,0,27,3858.73,66889.42,0,400,400,12,12,D
35,Gas,5,0,0,0,0,0,1,0,159.92,0,0,57,3858.73,66889.42,0,400,400,12,12,E
36,Gas,6,0,0,0,0,0,1,0,929.7,0,0,30,3858.73,66889.42,0,400,400,12,12,F
37,Gas,7,0,0,0,0,0,1,0,681.78,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
38,Gas,10,0,0,0,0,0,1,0,433.86,0,0,23.13,3858.73,66889.42,0,400,400,12,12,J
39,Gas,11,0,0,0,0,0,1,0,1053.66,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
40,Wind_LB,1,0,0,0,0,0,1,0,306.72,0,0,0,0,0,0,0,0,0,0,A
41,Wind_LB,3,0,0,0,0,0,1,0,1533.6,0,0,0,0,0,0,0,0,0,0,C
42,Wind_LB,4,0,0,0,0,0,1,0,1993.68,0,0,0,0,0,0,0,0,0,0,D
43,Wind_LB,5,0,0,0,0,0,1,0,1278,0,0,0,0,0,0,0,0,0,0,E
44,Wind_OS,11,0,0,0,0,0,1,0,8216,0,0,0,0,0,0,0,0,0,0,K
45,PV,1,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,A
46,PV,2,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,B
47,PV,3,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,C
48,PV,4,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,D
49,PV,5,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,E
50,PV,11,0,0,0,0,0,1,0,2074,0,0,0,0,0,0,0,0,0,0,K
